,Name,Value
0,Rook0,"(0, 0)"
1,Rook1,"(1, 1)"
2,Rook2,"(2, 2)"
3,Rook3,"(3, 3)"
4,Rook4,"(4, 4)"
5,Rook5,"(5, 5)"
6,Rook6,"(6, 6)"
7,Rook7,"(7, 7)"
8,Rook8,"(8, 8)"
9,Rook9,"(9, 9)"
10,Rook10,"(10, 10)"
11,Rook11,"(11, 11)"
12,Rook12,"(12, 12)"
13,Rook13,"(13, 13)"
14,Rook14,"(14, 14)"
15,Rook15,"(15, 15)"
16,Rook16,"(16, 16)"
17,Bishop0,"(23, 24)"
18,Bishop1,"(23, 25)"
19,Bishop2,"(25, 24)"
20,Bishop3,"(26, 24)"
21,Bishop4,"(27, 24)"
22,Bishop5,"(25, 21)"
23,Bishop6,"(21, 24)"
24,Bishop7,"(29, 24)"
25,Bishop8,"(20, 24)"
26,Bishop9,"(23, 29)"
27,Bishop10,"(17, 24)"
28,Bishop11,"(17, 22)"
29,Bishop12,"(31, 24)"
30,Bishop13,"(17, 26)"
31,Bishop14,"(23, 31)"
32,Bishop15,"(31, 25)"
33,Bishop16,"(25, 17)"
